step,patch_pair,site,g
2,U1-U2,1,0.005495559354767698
2,U2-U3,3,0.005495559354767698
3,U1-U2,1,-0.13869244701866637
3,U2-U3,3,-0.13869244701866656
4,U1-U2,1,-1.6353430046847954
4,U2-U3,3,-1.6353430046847963
5,U1-U2,1,-0.015455066568425435
5,U2-U3,3,-0.01545506656842538
6,U1-U2,1,0.0026583701739538723
6,U2-U3,3,0.002658370173953928
7,U1-U2,1,0.020748847603734633
7,U2-U3,3,0.020748847603734744
8,U1-U2,1,0.027922547583160817
8,U2-U3,3,0.027922547583160706
9,U1-U2,1,0.00849036723692756
9,U2-U3,3,0.008490367236927532
10,U1-U2,1,-0.01168979647581092
10,U2-U3,3,-0.011689796475810976
11,U1-U2,1,-0.029917719481829974
11,U2-U3,3,-0.029917719481829974
12,U1-U2,1,-0.015419262287843016
12,U2-U3,3,-0.015419262287842905
13,U1-U2,1,0.0035594557768366814
13,U2-U3,3,0.0035594557768367785
14,U1-U2,1,0.022483059665497906
14,U2-U3,3,0.022483059665498017
15,U1-U2,1,0.027517414893033276
15,U2-U3,3,0.027517414893033165
16,U1-U2,1,0.007087255058830344
16,U2-U3,3,0.0070872550588302885
17,U1-U2,1,-0.013777962317520764
17,U2-U3,3,-0.013777962317520764
18,U1-U2,1,-0.031446732809849665
18,U2-U3,3,-0.031446732809849554
19,U1-U2,1,-0.011110646004437563
19,U2-U3,3,-0.011110646004437619
20,U1-U2,1,0.010901658594658192
20,U2-U3,3,0.010901658594658137
21,U1-U2,1,0.03133056463345074
21,U2-U3,3,0.03133056463345063
22,U1-U2,1,0.014174243516552776
22,U2-U3,3,0.014174243516552998
23,U1-U2,1,-0.006462341554631629
23,U2-U3,3,-0.006462341554631323
24,U1-U2,1,-0.026769102637905884
24,U2-U3,3,-0.02676910263790544
25,U1-U2,1,-0.02363282241264031
25,U2-U3,3,-0.023632822412640864
26,U1-U2,1,-0.0043656165662356305
26,U2-U3,3,-0.004365616566236005
27,U1-U2,1,0.01500327249783312
27,U2-U3,3,0.015003272497832953
28,U1-U2,1,0.030244819096212794
28,U2-U3,3,0.030244819096213016
29,U1-U2,1,0.011674783969791935
29,U2-U3,3,0.01167478396979188
30,U1-U2,1,-0.008839980080831839
30,U2-U3,3,-0.0088399800808322
31,U1-U2,1,-0.028510503259986608
31,U2-U3,3,-0.028510503259987052
32,U1-U2,1,-0.01985881475262985
32,U2-U3,3,-0.019858814752629073
33,U1-U2,1,-0.0016357918813630495
33,U2-U3,3,-0.001635791881362099
34,U1-U2,1,0.01659258028626609
34,U2-U3,3,0.016592580286267145
35,U1-U2,1,0.029238123818849937
35,U2-U3,3,0.029238123818850048
36,U1-U2,1,0.01133719824481233
36,U2-U3,3,0.011337198244811164
37,U1-U2,1,-0.008344587154950595
37,U2-U3,3,-0.008344587154952537
38,U1-U2,1,-0.02731626018280331
38,U2-U3,3,-0.02731626018280553
39,U1-U2,1,-0.021377789323935303
39,U2-U3,3,-0.02137778932393186
40,U1-U2,1,-0.003499412878875105
40,U2-U3,3,-0.003499412878871802
41,U1-U2,1,0.01443133543503533
41,U2-U3,3,0.014431335435038273
42,U1-U2,1,0.02868898944902265
42,U2-U3,3,0.028688989449022984
43,U1-U2,1,0.014089172554889506
43,U2-U3,3,0.014089172554886231
44,U1-U2,1,-0.003928620100091193
44,U2-U3,3,-0.003928620100095717
45,U1-U2,1,-0.021872310296523922
45,U2-U3,3,-0.021872310296529474
46,U1-U2,1,-0.02702818122672579
46,U2-U3,3,-0.02702818122672268
47,U1-U2,1,-0.008053737731365224
47,U2-U3,3,-0.008053737731361837
48,U1-U2,1,0.01155912352760291
48,U2-U3,3,0.011559123527605686
49,U1-U2,1,0.029284483619483326
49,U2-U3,3,0.029284483619484214
50,U1-U2,1,0.016317841175360892
50,U2-U3,3,0.01631784117535723
51,U1-U2,1,-0.0019588758319356234
51,U2-U3,3,-0.00195887583194021
52,U1-U2,1,-0.02022640669545772
52,U2-U3,3,-0.02022640669546305
53,U1-U2,1,-0.028381200380536598
53,U2-U3,3,-0.02838120038053471
54,U1-U2,1,-0.008597384146780879
54,U2-U3,3,-0.008597384146777243
55,U1-U2,1,0.01196305734498837
55,U2-U3,3,0.011963057344992756
56,U1-U2,1,0.030431126026910116
56,U2-U3,3,0.030431126026913002
57,U1-U2,1,0.01445892196948273
57,U2-U3,3,0.014458921969474348
58,U1-U2,1,-0.005207480830063005
58,U2-U3,3,-0.005207480830076272
59,U1-U2,1,-0.024701301607256032
59,U2-U3,3,-0.024701301607272907
